10:49:58.288 ERROR vert.x-eventloop-thread-0 ConnectionBase       : java.io.IOException: Se ha forzado la interrupción de una conexión existente por el host remoto
10:50:03.137 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:03.398 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4935ms
10:50:03.401 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:03.510 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5049ms
10:50:03.510 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:03.530 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5067ms
10:50:03.530 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:03.665 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5201ms
10:50:03.669 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:03.784 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5321ms
10:50:03.784 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.055 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5591ms
10:50:04.055 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.085 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5621ms
10:50:04.085 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.095 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5631ms
10:50:04.099 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.115 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5651ms
10:50:04.116 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.174 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5710ms
10:50:04.174 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.334 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5869ms
10:50:04.364 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.374 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5909ms
10:50:04.375 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.391 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5926ms
10:50:04.392 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.415 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5950ms
10:50:04.423 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.440 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|5975ms
10:50:04.440 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.614 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6149ms
10:50:04.615 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.640 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6174ms
10:50:04.641 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.744 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6278ms
10:50:04.744 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.746 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6281ms
10:50:04.755 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
